date,location,total_rating,speed_small_rating,availability_small_rating,support_small_rating_tab,price_quality_small_rating,headline,summary
22 февраля в 14:28,г. Алматы,1,1,1,1,1,"
                    Интернет постоянно не работает.                ","
                    Плохое обслуживание, в настоящее время всё в онлайн режиме, почему нет доступа интернета, по договор 3! суток, но это не реально всё мы учимся, онлайн. Ваша компания не предусматривает, что Вы должны предоставить всем абонентам обратную связь не через 3 суток. Приходится повышать голос и грубить. В вашей компании работают роботы заучиная речь, но действий нет.                 "
14 февраля в 21:18,г. Тараз,1,1,1,1,1,"
                    кончита                ","
                    в доту даже играть невозможно!!! вылет за вылетом!!! Вечером скорость падает до 5 мб в сек! Последний месяц пользуюсь!!!                 "
14 февраля в 18:40,г. Атырау,1,1,1,1,1,"
                    Beeline KAZ                ","
                    Не рекомендую вам этого засранного пройвайдера надоел уже по вечерам как в пищере сидишь без интернета. Ежемесячно отбриает бешенные деньги, фиг знает для чего. Воообще в Казахстане нету нормального провайдера, который предоставляет нормальный интернет. Лишь бы получать деньги своевременно, когда у клиентов возникает проблемы, то не поднимает, то ожидаешь часами.                 "
14 февраля в 02:04,г. Алматы,1.2,1,1,1,2,"
                    Плохой интернет                ","
                    Здравствуйте прошу решить мою проблему связи с качеством интернета сеть полная 4G элементарно смотреть Ютуб невозможно                 "
11 февраля в 18:00,г. Караганда,2.5,1,5,3,1,"
                    Скорость интернета                ","
                    В центре города скорость интернета ужасная, хотя ловит LTE. Вход 0,04мбс выход 0,93мбс. Позорище, пора перейти на другую оператор связи                 "
11 февраля в 10:19,г. Тараз,1,1,1,1,1,"
","
                    Интернет ооочччень тупой и медленный. Билайн как кампания просто ноль. Им не следует заниматься провайдингом. Оставьте это казахтелекому                 "
08 февраля в 16:35,г. Караганда,1,1,1,1,1,"
                    Отстой                ","
                    Интернет просто ужасный онлайн трансляцию не посмотришь нормально постоянно обрывается постоянно подгрузка видео. Бред полнейший, а не интернет. Никому вообще не советую связываться. Звонишь оператору, тебе как автоответчик одно и то же. (перезагрузите роутер)Я поражаюсь с директоров, хозяев этой компании. Зачем набирать на работу бестолковых, которые вообще в этом не соображают. Приходил и мастер ко мне, сказал якобы у меня провод длинный который в квартиру заходит я с запасом взял метр когда подключали (у меня слов нет) в итоге поменял коннектор и сказал что всё ОК. Но НЕТ. Заявку остовлял, уже дней 5-7 ни слуху ни духу. Поскорей бы протянули ОПТИНЕТ на ЮГ. Ой сколько же клиентов потеряет билайн с котактелекомом. Желаю вам обонкротиться, а на деньги тех у которых стоит ваш интернет чтоб вы постоянно лечили своё здоровье не вылазия из больниц.                 "
07 февраля в 19:52,г. Алматы,1.2,1,1,2,1,"
                    Интернет дома от Билайн                ","
                    Худшего интернета я просто не встречала! а я застала модемы, которые еще мерзость так дозванивались!
Посмотреть что-то онлайн не реально, постоянно все виснет, фильмы недогружает, умирает еще на тупой рекламе минут на 10-15!!! постоянно теряется соединение — вылетаешь с рабочих встреч чуть ли не каждые 10 минут!
никому не советую!
на телефоне так же не тянет! гребаный инстаграм и тот — невозможно обновить ленту, проверьте соединение!                 "
20 января в 20:11,г. Усть-Каменогорск,4.8,5,4,5,5,"
                    Оценка качества интернет провайдера Beeline KZ                ","
                    Провайдер Beeline KZ предоставляет услуги интернет соединения достойного качества. Скорость соединения совпадает с заявленной, цена для подобных услуг для Казахстана вполне адекватная. Когда появились проблемы со сбросом настроек интернета, в поддержке все коротко, грамотно и понятно разъяснили. Считаю Beeline достойным выбором провайдера в нашем городе.                 "
13 января в 20:21,г. Костанай,1,1,1,1,1,"
                    Это самый ущербный домашний интернет который у меня был                ","
                    Каждый день самого первого числа он слетает на 20 минут, причем пока ты его не перезагрузишь ничего не менялось::)
В 19 году из-за этой проблемы мы вызвали мастера (мы тогда думали что что-то с модемом) мастер был сотрудником Интернет дома от билайна, он пытался развести нас на 20 к, говоря о том что нам нужно все менять так-как модем сгорел (НО ОН БЫЛ ИДЕЛЬНО ЦЕЛЫЙ)
Скорость плохая, все ужасное, НИКОГДА, слышите НИ КО ГДА не подключайте его
Спасибо за внимание.                 "
12 января в 16:14,г. Алматы,1,1,1,1,1,"
                    параша                ","
                    жалею о том что перешел с казахтелекома на билайн, наитупейшие условия и худший домашний интернет в городе, никому не советую, если вы геймер — можете рассчитывать только на постоянные вылеты из катки из-за интернета, пинг 1000 и не статичный айпи                 "
05 января в 10:46,г. Талдыкорган,4.2,5,3,4,5,"
                    Любимый но худший провайдер)                ","
                    Всем привет! Брал услуги у этого провайдера, потому что были хорошие цены и за скорость интернета. Пользуюсь уже 4-5 месяца, в начале было все хорошо, но в последнее время по вечерам само по себе отключается. Но так все хорошо!                 "
04 января в 19:57,г. Караганда,1,1,1,1,1,"
                    Ужас                 ","
                    Такая связь только наверное в 90 годах прошлого века. Есть 4g Пару минут и сразу Е, потом совсем 0  связи. Просто кошмар.                 "
04 января в 16:55,г. Шымкент,1,1,1,1,1,"
                    Самый кошмарный интернет!                ","
                    Скорость ужасная, если вы играете в игры — ваше спокойствие исчезнет: ping +150 МИНИМУМ, скорость обещанная 100 Мб/с, а на деле всего 30 утром, а под вечер вообще исчезает. Постоянно какая-то ерунда непонятная с ними… То TV не работает, то интернет исчезает, а под новый год (да и после него) остались с хер*ом собачьим (всё вырубили). Служба поддержки тоже ерунда… в общих чертах никому не советую. Интернетом то назвать сложно…                 "
03 января в 20:11,г. Караганда,1,1,1,1,1,"
","
                    Не оператор связи, а группа лжецов и мошенников. Постоянные сбои в работе интернета, на жалобы пользователей ни как не реагируют.                 "
03 января в 12:54,г. Алматы,1,1,1,1,1,"
","
                    Ваш «5g» это ужас, из-за которого вечером начинается нервный тик. Даже через телефон зайти и нормально посидеть в интернете это мечта, телевизор вообще гонит как подключили ваш супер интернет. Не советую. Даже за бесплатно                 "
02 января в 23:00,г. Костанай,2.2,1,3,3,2,"
                    Интернет Дома от Билайн                ","
                    Интернет очень плохой, нет стабильного соединения! Просто не выразить словами, невозможно вечером кино без зависаний посмотреть и т.д                 "
02 января в 18:29,г. Туркестан,1,1,1,1,1,"
                    Кошмарный домашний интернет                 ","
                    Вообще скорость отсутствует. Операторы как мартышки по телефону отвечают стандартными фразами выньте, суньте, перезагрузите. Ни чего не меняется последнее время. Только деньги стабильно гребут. Пора чистить всю компанию и набрать толковых кто умеет и хочет работать. А не брать на работу бездельников и баранов.                 "
26.12.2020 в 19:07,г. Алматы,1,1,1,1,1,"
                    Ужасный интернет                ","
                    Пользуюсь биллайном более 5 лет, раньше все устраивало, сейчас же интернет от биллайн стал не выносим, постоянно провожает связь, не возможно работать с таким интернетом. Ни кому ни рекомендую.                 "
25.12.2020 в 15:57,г. Атырау,2,3,3,1,1,"
                    Никакой стабильности соединения                ","
                    Пользуюсь Интернетом от Билайна с 2014 года, последние годы интернет стал нерально тупить и постоянно отключаться, глючное l2tp соединение закалебало уже, не могут решить проблему с постоянными обрывами, пинг высоченный самый высокий пинг у Билайна походу, 3 дня не посидишь норм в интернете без проблем :(
Рекомендовать не могу, но норм провайдеров тоже нету, живя в городе иметь постоянные проблемы с интернетом в 21 ом веке то позор
И они гордятся что стали лучшими в Казахстане с этим l2tp соединением лол)                 "
24.12.2020 в 17:27,г. Караганда,1,1,1,1,1,"
                    Алтел это лохотрон полный,отключайтесь от него                ","
                    Алтел это полный лохотрон, не вздумайте переходить на эту связь.Скорость у алтела может быть на первых днях подключения, такие тарифы, как турбо унлим, не соответствуют действительности, средняя скорость этой связи в лучших моментах достигает 1 мб, пинг у Алтел просто позорный, 2 секунды и это в среднем.Со стороны если посмотреть на эту связь с ее тарифами и поведением в отношении клиентов.Такое ощущение, что эта компания, просто хочет побыстрей содрать деньги с клиента, предоставив фиговый инет с позорным пингом.Компания ведёт позорную политику, жадную до денег в свою пользу, пихая клиентам дерьмовую связь без никаких скидок.Я платил за эту связь 8990 в месяц, на тарифе турбо унлим, где как они говорили, у них высокоскоростной инет до 300мб в секунду, в итоге получил в среднем 1 мб секунда, и это в лучшем случае, с рингом с которым играть в онлайн игры просто невозможно, 2 секунды.Потом купил симку Билайна, заплатил по скидке 1113 тенге, на тарифе.И получил нормальный инет, у которого пинг всего лишь 40мс.Вот так вот кидает своих клиентов алтел                 "
21.12.2020 в 07:02,г. Актау,4.2,4,5,3,5,"
                    принципе пойдет                 ","
                    все нормально работает.читал только что отзывы и все пишут что с вечера до ночи лагает так ведь нагрузка на сеть большая че поделать то теперь. люди с зп 70к+ работают и пытаются наладить и обеспечить интернетом вас, а вы не годуете. так вот скорость временами падает, но стабильно держит 5-7мб, пинг в среднем 40-70 для своего ценового сегмента вполне отличный интернет ОСОБЕННО В КАЗАХСТАНЕ.                 "
17.12.2020 в 11:35,г. Алматы,4.8,5,4,5,5,"
                    Отличная скорость                ","
                    с 2009 по 2020 был у меня интернет от Мегалайн, скорость была стабильно 5-8 мб, меня это устраивала, но в последнее время когда вышли 4к видео такой скорости мало, перешел 2 дня назад на интернет билайн дома, скорость до 100мб сек, в реале 80мб сек стабильно, роутер поддерживает 5G, что очень меня обрадовала, на смартфоне те же 80 мб сек стабильно, редко скорость падает до 50 мб сек, что незначительно для меня, не знаю почему многие жалуются на билайн, меня лично все устраивает, может они есть конкуренты?) так что друзья не слушайте никого, советую билайн, если не понравится отключите, что маловероятно.                 "
16.12.2020 в 22:38,г. Нур-Султан,1,1,1,1,1,"
                    Омиржан                ","
                    Худшее из зол что могло бы с вами произойти это Интернет дома от билайн. Не работает интернет, просто отключается и изза этого выкидывает из игры, фильмы нельзя толком посмотреть. Уже которую неделю так.                 "
15.12.2020 в 11:27,г. Алматы,4.5,5,5,4,4,"
                    Мне всё нравится                ","
                    Отличный провайдер. Если какие-то сбои на линии, устраняют в кротчайшие сроки.                 "
09.12.2020 в 20:13,г. Экибастуз,2.2,1,5,1,2,"
                    последнее время шляпа                ","
                    Все было хорошо и отлично. до начала декабря (1 декабря)
Почему 2, а не 1 или еще ниже
Ответ прост: было все хорошо и отлично до поры до времени

Сейчас же интернет работает с 8 утра до 7 вечера вполне быстро и стабильно
В 19:00 начинается танцы с бубном!
Интернет грузит сайты, ютуб, фильмы все шикарно., но в играх просто отстой (самый прикол что это продолжается до 00:00, после все стабилируется)
Я не думаю что дело в серверах игр

Самое ужасное, дисконекты, высокий пинг, лаги ИМЕННО С 19:00 ДО 00:00 КАЖДЫЙ БОЖИЙ ДЕНЬ!

Пинги
WOT, WOT Blitz-от 150 до 500(с мигающей лампой пинга, постоянные телепорты), либо вы разобьетесь, либо вас уничтожат
CsGO: от 200 и выше, с телепортацией, убийством вас в голову в последуйщем: D
Валорант, тундра и прочие проекты- фризы, лаги, тп, головой чат с помехами                 "
09.12.2020 в 10:32,г. Караганда,1,1,1,1,1,"
                    Конченный интернет.                ","
                    Интернет просто ужасный, отключается каждые 3 часа приходится ждать по 3 минуты, Вечером в игры играть нереально, пинг скачет телепортируюсь как резанный, Даже в ММ нормально поиграть нельзя выкидывает и получаю бан потомучто роутер сам отключается, Не подключайтесь сплошная замануха.                 "
08.12.2020 в 17:56,г. Павлодар,1,1,1,1,1,"
                    Батыр                ","
                    Этот провайдер тот которого не нужно выбирать, вчера пол часа не мог дозвониться в службу поддержки. Проблема в том что пинг скачет как сумасшедший. Ежедневно с 19:00 и не знаю до скольки эта проблема является ко мне. В какое время живём? Почему у нас в цивилизованном мире есть проблема с интернетом? Это ведь смешно, люди Марс освоить пытаются, а у нас интернета стабильного нет.                 "
06.12.2020 в 19:59,г. Павлодар,1,1,1,1,1,"
                    Ужасный провайдер                 ","
                    Худший провайдер из всех что я когда-либо видел просто. не могут нормальный стабильный интернет обеспечить. Ежедневно!!! с 6 вечера до 12 ночи интернет работает как из гаража. Постоянные вылеты из игры, нестабильная ерунда, а не интернет.                 "
05.12.2020 в 19:47,г. Экибастуз,1,1,1,1,1,"
                    Убожество                ","
                    Кошмарно, по вечерам работать невозможно, играть тоже пинг скачет как тварь, просто со 100 до 400-500, и так уже месяца 2. Когда позвонил в сапорт сказали что тип что-то сделают, создали заявку, ЖДУ. Лучше перейти на каз тел, но там тоже траблы, уже пол месяца не могут подключить. Вообще сервис у провайдеров в КЗ убогий.                 "
05.12.2020 в 17:58,г. Павлодар,1,1,1,1,1,"
                    Я пчелка, пчелка, пчелка, Я вовсе не медведь.                ","
                    Дерbмо, а не интернет. Летом наблюдалась та же проблема что и сейчас, уже в течение месяца начиная с ноября и по сей день с 21:00 и до 1-2:00 поднимается пинг от 150 и до 300, не говоря уже о скорости. Когда-то было нормально, но это КОГДА-ТО. В ТП звонить смысла нет, т.к все что вам там посоветуют это ПЕРЕЗАГРУЗИТЬ роутер, или СМЕНИТЬ тарифный план. Самое забавное то что недавно в Официальной группе ВК, в обсуждения я прикрепил скриншот со своей трассировкой и комментарием «Стабильно после 21:00 лагает» на что некоторые со мной согласились. И знаете что сделал Пчелайн? Удалил мой комментарий и другие негативные отзывы об качестве их интернета, и ВУАЛЯ «Вы добавлены в черный список». Идеальное решение проблемы, Пчёлка.
Теперь мобильный интернет ваш потолок, не более.                 "
03.12.2020 в 19:30,г. Алматы,3.2,1,5,4,3,"
                    Вечером падает скорость интернета                ","
                    Скорость интернета весь день не падает ниже 90 мбит, но ровно в 8 часов вечера, казалось бы, все хорошо, сайты грузит… Но в онлайн играх, у которых сервера расположены не в Казахстане, пропадает интернет на несколько секунд, а то и больше.                 "
02.12.2020 в 06:52,г. Рудный,1,1,1,1,1,"
                    ужасно                ","
                    Интернет самый худший, пинг за 150 скорости никакой, поддержки тоже нет                 "
01.12.2020 в 22:02,г. Нур-Султан,1,1,1,1,1,"
                    gm                ","
                    Худший провайдер в Казахстане. Просьба — пожалуйста не подключайтесь к нему. Сохраните себе нервы, деньги, время.                 "
29.11.2020 в 10:44,г. Павлодар,1.2,1,2,1,1,"
                    Бегите глупцы!                ","
                    Ужасный интернет, подключил за 4200Т. 100мб\с,
в итоге 50-80.
1-2 раза выключается на 1-2 минуты и дает новый IP адрес, иногда россии.

На 29.11.2020 год 20:30 до 23:30 меняет IP и трафик на не пойми что, скорость 10-20, пинг в играх от 200 до 800.

Дозвониться в техподдержку иногда нереально, говорят ждите 20 минут и так 30 минут или просто сбрасывают звонок и ждите еще 60 минут.

А если дозвонишься, то с шансом 50-50% ответит быдло колхозное, которое говорит, это проблема вашего компьютера и ваша, а не наша.                 "
27.11.2020 в 17:50,г. Караганда,1,1,1,1,1,"
                    Ужасно                ","
                    Нет той скорости которую заявляли, постоянные поломки на стороне провайдера (у нас нет интернета 3 день из-за криворукости билайна). У меня мобильный интернет работает быстрее чем домашний. Никому не советую. ???                 "
19.11.2020 в 13:39,г. Экибастуз,1.2,1,1,2,1,"
                    Ужасный интернет                ","
                    Как надоел этот хваленный интернет дома от билайна. Плочу 6900тг ежемесячно заявленная скорость 100мб, но на деле не бывает и 10. Пытаюсь посмотреть фильм через вай фай на иви так на минимальном качестве прогрузки каждые 10-15 секунд. Не возможно ничего смотреть. В игры играть это боль, обрывы интернета каждый день по 10 и более раз. 4g не тянет и на 3g, кроме ютуба у вас не получится ничего посмотреть. В общем совсем не рекомендую данного провайдера, постоянно говорят что проблемы на нашей стороне и такой бардак с этим интернетом уже больше года. Отключаю интернет и перехожу со связи билайн на другого оператора, худшая связь, худший интернет. Но зато цены задрать на 100% это они могут.                 "
19.11.2020 в 09:29,г. Караганда,3,3,3,3,3,"
                    людмила широбокова                ","
                    Последние три дня интернет билайн г. Кульсары очень тормозит.не отправляются смс, даже на телефон трудно дозвониться, пропадает связь. Почему???                 "
17.11.2020 в 21:32,г. Алматы,2.5,3,3,2,2,"
                    Отзыв о интернете                ","
                    Интернет вроде отличный про телефонную связь в некоторых местах вроде не бункир и не гараж, но не ловит. Мынус 1 огромный за последний месяц интернет вырубается каждую неделю бывает 2 раза в неделю                 "
14.11.2020 в 16:57,г. Костанай,2,1,1,5,1,"
","
                    Плохо работает очень кидает на разные сервера местоположение плохое показывает Алмата                 "
13.11.2020 в 11:33,г. Павлодар,4.5,4,5,5,4,"
                    отзыв о провайдере                ","
                    Билайн для меня считается хорошим провайдером. Связь отличная, интернет на 8 из 10.                 "
10.11.2020 в 12:08,г. Нур-Султан,3,4,4,1,3,"
                    Недостоверная реклама                ","
                    Пришло смс уведомление от Билайн, дословно «Вам доступен бесплатный топ пакет „бесплатно TV360“ трафик не расходуется! Удобнее в мобильном приложении и ссылка». Нажимаю «подключить», автоматом устанавливается приложении и указано уже, что «для новых пользователей бесплатно, далее — 30, 50, 55 тг/в день». Как отключить данную услугу и можно ли подать на них в суд за предоставление недобросовестной и недостоверной рекламы?                 "
05.11.2020 в 13:32,г. Караганда,3.5,4,3,4,3,"
                    Отзыв на авантюру                ","
                    Всегда был на тарифе за 1390. Перешел на Яркий промо за 1990 изза бесплатного би тв. Оказалось на деле 1 месяц только бесплатно за каналы. Зачем замануху делаете. Нормально сидел за 1390. Обратно поставьте.                 "
04.11.2020 в 17:26,г. Алматы,1,1,1,1,1,"
                    Ужасный сервис                ","
                    Самое ужасное обслуживание в Казактелеком. Чтобы оставить заявку пришлось два дня звонить, операторы перенаправляли друг к другу, что в конце концов пришлось ехать в абонентский отдел, простоять 1.5 часа в очереди и оставить письменно заявку оператору, который пообещал, что техники придут в течении трех рабочих дней. Через неделю пришлось позвонить, заявку нашли, и опять направили в техотдел. На следующий день опять пришлось звонить, на этот раз заявку не смогли найти и приняли сново, спросив на какое время удобнее отправить техников. Целый день пришлось прождать и опять тишина. Это конечно самый низкий уровень.                 "
01.11.2020 в 08:40,г. Петропавловск,2.8,3,4,2,2,"
","
                    Нестабильный провайдер. Скорость временами хорошая, но регулярно по нескольку раз на дню происходят обрывы соединения. Перезагрузка роутера спасает минут на 5, и так по новой.
Кол-центр излишне намудрен, чтобы попасть к живому человеку приходится тратить по 10 минут времени, чтобы пробиться сквозь всех ботов.
Гугл регулярно жалуется на подозрительный трафик.
Не советую данного провайдера тем, кто работает в интернете, либо играет в онлайн игры, только нервы потратите.                 "
